Key;Transition;Timestamp
ART_A-549;Done;26.10.2025 16:29:01
ART_A-549;Implementation;19.10.2025 09:24:26
ART_A-549;Program Backlog;19.10.2025 09:24:18
ART_A-547;Created;25.08.2025 11:03:36
ART_A-547;Funnel;27.11.2025 09:39:04
ART_A-547;Analysis;28.08.2025 16:31:24
ART_A-546;Created;25.08.2025 11:01:13
ART_A-546;Done;21.11.2025 13:27:19
ART_A-546;Releasing;21.11.2025 13:27:11
ART_A-546;Implementation;10.10.2025 13:39:07
ART_A-546;Program Backlog;01.09.2025 09:30:27
ART_A-546;Analysis;28.08.2025 08:38:28
ART_A-543;Created;24.08.2025 12:51:02
ART_A-543;Analysis;24.08.2025 14:12:13
ART_A-542;Created;21.08.2025 14:29:53
ART_A-542;Implementation;13.10.2025 11:41:04
ART_A-542;Program Backlog;08.09.2025 10:59:24
ART_A-542;Analysis;08.09.2025 08:38:24
ART_A-541;Created;18.08.2025 13:47:24
ART_A-536;Created;18.08.2025 10:26:05
ART_A-534;Created;17.08.2025 16:56:29
ART_A-534;Analysis;24.08.2025 14:10:02
ART_A-533;Created;17.08.2025 16:55:37
ART_A-533;Implementation;15.11.2025 10:11:25
ART_A-533;Analysis;24.08.2025 14:09:56
ART_A-526;Created;17.08.2025 10:11:30
ART_A-525;Created;17.08.2025 09:55:25
ART_A-524;Created;17.08.2025 08:42:14
ART_A-522;Created;16.08.2025 13:39:06
ART_A-522;Done;30.11.2025 14:00:11
ART_A-522;Releasing;30.11.2025 13:59:42
ART_A-522;Implementation;21.11.2025 13:26:46
ART_A-522;Program Backlog;01.09.2025 14:56:15
ART_A-522;Analysis;16.08.2025 13:39:19
ART_A-521;Created;16.08.2025 13:29:23
ART_A-521;Done;23.11.2025 17:29:14
ART_A-521;Releasing;23.11.2025 17:29:06
ART_A-521;Implementation;10.10.2025 13:40:06
ART_A-521;Program Backlog;11.09.2025 18:15:20
ART_A-521;Analysis;11.09.2025 18:15:06
ART_A-521;Funnel;11.09.2025 18:14:33
ART_A-521;Program Backlog;01.09.2025 14:55:33
ART_A-521;Analysis;16.08.2025 13:29:39
ART_A-520;Created;15.08.2025 14:04:51
ART_A-517;Created;27.07.2025 13:51:12
ART_A-515;Created;26.07.2025 14:50:08
ART_A-515;Done;14.11.2025 08:20:32
ART_A-515;Implementation;13.10.2025 11:40:22
ART_A-515;Program Backlog;07.08.2025 09:02:56
ART_A-515;Analysis;26.07.2025 14:51:37
ART_A-514;Created;26.07.2025 12:04:25
ART_A-514;Done;24.08.2025 13:32:57
ART_A-514;Implementation;24.08.2025 13:29:15
ART_A-514;Program Backlog;24.08.2025 13:27:25
ART_A-514;Done;01.08.2025 11:28:09
ART_A-514;Implementation;01.08.2025 11:20:38
ART_A-514;Program Backlog;26.07.2025 12:10:05
ART_A-513;Created;24.07.2025 13:32:20
ART_A-510;Created;19.07.2025 14:24:41
ART_A-509;Created;19.07.2025 14:15:10
ART_A-508;Created;18.07.2025 11:10:40
ART_A-508;Done;13.10.2025 11:57:13
ART_A-507;Created;17.07.2025 13:37:05
ART_A-507;Done;24.10.2025 09:30:53
ART_A-507;Releasing;19.10.2025 09:22:54
ART_A-507;Implementation;06.10.2025 11:06:04
ART_A-507;Program Backlog;12.09.2025 14:10:35
ART_A-507;Analysis;17.08.2025 13:47:03
ART_A-502;Created;04.07.2025 07:38:04
ART_A-501;Created;03.07.2025 14:02:51
ART_A-501;Funnel;08.11.2025 07:45:07
ART_A-501;Analysis;08.11.2025 07:44:45
ART_A-500;Created;29.06.2025 14:26:49
ART_A-499;Created;27.06.2025 09:04:13
ART_A-499;Releasing;02.11.2025 09:38:41
ART_A-499;Implementation;13.10.2025 11:39:56
ART_A-499;Program Backlog;18.07.2025 09:54:35
ART_A-499;Analysis;28.06.2025 13:37:52
ART_A-480;Created;22.06.2025 13:28:09
ART_A-480;Implementation;15.11.2025 15:24:04
ART_A-478;Created;21.06.2025 14:08:54
ART_A-478;Done;12.09.2025 09:11:48
ART_A-478;Implementation;31.08.2025 10:44:34
ART_A-477;Created;21.06.2025 14:07:34
ART_A-477;Done;14.09.2025 10:57:23
ART_A-477;Implementation;28.06.2025 12:55:14
ART_A-477;Program Backlog;28.06.2025 12:55:08
ART_A-473;Created;20.06.2025 17:04:30
ART_A-473;Implementation;24.11.2025 13:07:18
ART_A-473;Analysis;13.09.2025 12:57:54
ART_A-471;Created;20.06.2025 15:32:08
ART_A-471;Implementation;08.11.2025 10:51:38
ART_A-471;Analysis;01.09.2025 13:57:30
ART_A-469;Created;20.06.2025 09:54:15
ART_A-469;Done;12.09.2025 14:02:52
ART_A-469;Releasing;12.09.2025 13:59:04
ART_A-469;Implementation;18.08.2025 09:55:32
ART_A-469;Program Backlog;20.06.2025 09:55:32
ART_A-467;Created;19.06.2025 16:24:50
ART_A-467;Done;04.09.2025 13:25:13
ART_A-467;Releasing;04.09.2025 13:25:06
ART_A-467;Implementation;16.08.2025 13:13:40
ART_A-467;Program Backlog;16.08.2025 13:13:30
ART_A-467;Analysis;19.06.2025 16:37:20
ART_A-466;Created;19.06.2025 16:22:26
